"AlarmName","ErrorCode","SrNo","Device","AlarmDescription","Message","Severity","AckRequired","PlcTag","Shortcut","PlcReference","TriggerTag","MappingStatus"
"ALM_E224","E224","77","Tray Insertion Servo Slide","Drive  Faulted","E224 Tray Insertion Servo Slide Drive  Faulted","500","true","FB_Servo08","Offline","[Offline]FB_Servo08","FB_Servo08.Alarm.E224","Mapped"
"ALM_E225","E225","78","Tray Stacker Servo 01","MPCB Tripped","E225 Tray Stacker Servo 01 MPCB Tripped","500","true","FB_Servo09","Offline","[Offline]FB_Servo09","FB_Servo09.Alarm.E225","Mapped"
"ALM_E226","E226","79","Tray Stacker Servo 01","Drive Not Ready","E226 Tray Stacker Servo 01 Drive Not Ready","500","true","FB_Servo09","Offline","[Offline]FB_Servo09","FB_Servo09.Alarm.E226","Mapped"
"ALM_E227","E227","80","Tray Stacker Servo 01","Drive  Faulted","E227 Tray Stacker Servo 01 Drive  Faulted","500","true","FB_Servo09","Offline","[Offline]FB_Servo09","FB_Servo09.Alarm.E227","Mapped"
"ALM_E228","E228","81","Tray Stacker Servo 02","MPCB Tripped","E228 Tray Stacker Servo 02 MPCB Tripped","500","true","FB_Servo10","Offline","[Offline]FB_Servo10","FB_Servo10.Alarm.E228","Mapped"
"ALM_E229","E229","82","Tray Stacker Servo 02","Drive Not Ready","E229 Tray Stacker Servo 02 Drive Not Ready","500","true","FB_Servo10","Offline","[Offline]FB_Servo10","FB_Servo10.Alarm.E229","Mapped"
"ALM_E230","E230","83","Tray Stacker Servo 02","Drive  Faulted","E230 Tray Stacker Servo 02 Drive  Faulted","500","true","FB_Servo10","Offline","[Offline]FB_Servo10","FB_Servo10.Alarm.E230","Mapped"
"ALM_E231","E231","84","Plate Feeding Conveyor","MPCB Tripped","E231 Plate Feeding Conveyor MPCB Tripped","500","true","FB_Drive01","Offline","[Offline]FB_Drive01","FB_Drive01.Alarm.E231","Mapped"
"ALM_E232","E232","85","Plate Feeding Conveyor","Drive Not Ready","E232 Plate Feeding Conveyor Drive Not Ready","500","true","FB_Drive01","Offline","[Offline]FB_Drive01","FB_Drive01.Alarm.E232","Mapped"
"ALM_E233","E233","86","Plate Feeding Conveyor","Drive  Faulted","E233 Plate Feeding Conveyor Drive  Faulted","500","true","FB_Drive01","Offline","[Offline]FB_Drive01","FB_Drive01.Alarm.E233","Mapped"
