Tag Name,Type,Description
"Dryer_Cool_Zone_Temp_Low_Fault","bool","Dryer_Cool_Zone_Temp_Low_Fault"
"Dryer_Cool_Zone_Temp_Within_Range","bool","Dryer_Cool_Zone_Temp_Within_Range"
"Dryer_Gas_Inlet_FT_High_SP","float","Dryer_Gas_Inlet_FT_High_SP"
"Dryer_Heating_Zone_DC_Level_High","bool","Dryer_Heating_Zone_DC_Level_High"
"Dryer_Heat_Zn_Inlet_FT_High_SP","float","Dryer_Heat_Zn_Inlet_FT_High_SP"
"Dryer_Heat_Zn_Inlet_FT_Low_SP","float","Dryer_Heat_Zn_Inlet_FT_Low_SP"
"Dryer_Heat_Zn_Inlet_FT_Within_range","bool","Dryer_Heat_Zn_Inlet_FT_Within_range"
"Dryer_Heat_Zn_Outlet_FT_Low_SP","float","Dryer_Heat_Zn_Outlet_FT_Low_SP"
"Dryer_Heat_Zone_DN_DC_PT_High_SP","float","Dryer_Heat_Zone_DN_DC_PT_High_SP"
"Dryer_Heat_Zone_DN_DC_PT_Low_SP","float","Dryer_Heat_Zone_DN_DC_PT_Low_SP"
"Dryer_Heat_Zone_UP_DC_PT_High_SP","float","Dryer_Heat_Zone_UP_DC_PT_High_SP"
"Dryer_Heat_Zone_UP_DC_PT_Low_SP","float","Dryer_Heat_Zone_UP_DC_PT_Low_SP"
"Dryer_Heat_Zone_UP_DC_PT_Within_Range","bool","Dryer_Heat_Zone_UP_DC_PT_Within_Range"
"Dust_Collector_Motor_Bypass","bool","Dust_Collector_Motor_Bypass"
"E030_Panel_Temp_High","bool","E030_Panel_Temp_High"
"E161_Z2_Panel_Temp_High","bool","E161_Z2_Panel_Temp_High"
"Filling_Actual_Weight","float","Filling_Actual_Weight"
"Filling_Weight_High","bool","Filling_Weight_High"
"Filling_Weight_Higher_SP","float","Filling_Weight_Higher_SP"
"Filling_Weight_Low","bool","Filling_Weight_Low"
"Filling_Weight_Lower_SP","float","Filling_Weight_Lower_SP"
"Fine_Fill_Running","bool","Fine_Fill_Running"
"Fine_FineWeight","bool","Fine_FineWeight"
"Fine_Super_FineWeight","bool","Fine_Super_FineWeight"
"Fine_Vibro_Bypass","bool","Fine_Vibro_Bypass"
"Fine_Vibro_Level_High_SP","float","Fine_Vibro_Level_High_SP"
"Fine_Vibro_Level_High_Tol_SP","float","Fine_Vibro_Level_High_Tol_SP"
"Fine_Vibro_Level_Low_SP","float","Fine_Vibro_Level_Low_SP"
"Fine_Vibro_Level_Low_Tol_SP","float","Fine_Vibro_Level_Low_Tol_SP"
"Gas_Burner_Inlet_Temp_High_Fault","bool","Gas_Burner_Inlet_Temp_High_Fault"
"Gas_Burner_Inlet_Temp_Low_Fault","bool","Gas_Burner_Inlet_Temp_Low_Fault"
"Gas_Burner_Inlet_Temp_With_In_Range","bool","Gas_Burner_Inlet_Temp_With_In_Range"
"Gas_Burner_Outlet_Temp_High_Fault","bool","Gas_Burner_Outlet_Temp_High_Fault"
"Gas_Burner_Outlet_Temp_High_SP","float","Gas_Burner_Outlet_Temp_High_SP"
"Gas_Burner_Outlet_Temp_Low_Fault","bool","Gas_Burner_Outlet_Temp_Low_Fault"
"Gas_Burner_Outlet_Temp_Low_SP","float","Gas_Burner_Outlet_Temp_Low_SP"
"Gas_Burner_Outlet_Temp_With_In_Range","bool","Gas_Burner_Outlet_Temp_With_In_Range"
"HeatingZoneTemperature_Reach","bool","HeatingZoneTemperature_Reach"
"Heating_Temp_Scaled_PV","float","Heating_Temp_Scaled_PV"
"Heating_Zn_Chopper_Ready","bool","Heating_Zn_Chopper_Ready"
"heating_zone_burner_valve_start_testbit","bool","heating_zone_burner_valve_start_testbit"
"Heating_Zone_DC_PT_Difference","float","Heating_Zone_DC_PT_Difference"
"Heating_Zone_DC_PT_Difference_High_SP","float","Heating_Zone_DC_PT_Difference_High_SP"
"Heating_Zone_DC_PT_Difference_low_SP","float","Heating_Zone_DC_PT_Difference_low_SP"
"Heating_Zone_DC_PT_Diff_with_In_Range","bool","Heating_Zone_DC_PT_Diff_with_In_Range"
"Heating_Zone_Inlet_Close_Fault","bool","Heating_Zone_Inlet_Close_Fault"
"Heating_Zone_Temp_Within_Range","bool","Heating_Zone_Temp_Within_Range"
"HMI_Auto_Chopper_Stop_Delay_Time","int","HMI_Auto_Chopper_Stop_Delay_Time"
"HMI_Auto_Sealing_Conveyor_Speed","float","HMI_Auto_Sealing_Conveyor_Speed"
"HMI_Auto_Stitching_Conveyor_Speed","float","HMI_Auto_Stitching_Conveyor_Speed"
"HMI_Bag_Up_Dn_cyl_Weight_Limit","float","HMI_Bag_Up_Dn_cyl_Weight_Limit"
"HMI_Coarse_FastSpeed","int","HMI_Coarse_FastSpeed"
"HMI_Coarse_FineSpeed","int","HMI_Coarse_FineSpeed"
"HMI_Coarse_SuperFineSpeed","int","HMI_Coarse_SuperFineSpeed"
"HMI_Coarse_Vibro_Enable","bool","HMI_Coarse_Vibro_Enable"
"HMI_CoolingZone_Enable","bool","HMI_CoolingZone_Enable"
"HMI_CoolingZone_Temp_SP","float","HMI_CoolingZone_Temp_SP"
"HMI_Cooling_Air_Inlet_Temp_High_Tol_SP","float","HMI_Cooling_Air_Inlet_Temp_High_Tol_SP"
"HMI_Cooling_Air_Inlet_Temp_Low_Tol_SP","float","HMI_Cooling_Air_Inlet_Temp_Low_Tol_SP"
"HMI_Cooling_Air_Inlet_Temp_SP","float","HMI_Cooling_Air_Inlet_Temp_SP"
"HMI_Cooling_Air_Outlet_Temp_High_Tol_SP","float","HMI_Cooling_Air_Outlet_Temp_High_Tol_SP"
"HMI_Cooling_Air_Outlet_Temp_Low_Tol_SP","float","HMI_Cooling_Air_Outlet_Temp_Low_Tol_SP"
"HMI_Cooling_Air_Outlet_Temp_SP","float","HMI_Cooling_Air_Outlet_Temp_SP"
"HMI_Cooling_Zone_Temp_High_SP","float","HMI_Cooling_Zone_Temp_High_SP"
"HMI_Cooling_Zone_Temp_High_Tol_SP","float","HMI_Cooling_Zone_Temp_High_Tol_SP"
"HMI_Cooling_Zone_Temp_Low_SP","float","HMI_Cooling_Zone_Temp_Low_SP"
"HMI_Cooling_Zone_Temp_Low_Tol_SP","float","HMI_Cooling_Zone_Temp_Low_Tol_SP"
"HMI_Cooling_Zone_Temp_SP","float","HMI_Cooling_Zone_Temp_SP"
"HMI_Door_Lock","bool","HMI_Door_Lock"
"HMI_Dryer_Cooling_Zn_Dust_Collector_PV01","bool","HMI_Dryer_Cooling_Zn_Dust_Collector_PV01"
"HMI_Dryer_Cooling_Zn_Dust_Collector_PV02","bool","HMI_Dryer_Cooling_Zn_Dust_Collector_PV02"
